User_ID,Name,Zone,User_Type,Total_Orders,Phone_Number
USR-1028,علي توفيق,الشروق,B2C (أفراد),4,103344028
USR-1029,مريم إبراهيم,التجمع الخامس,B2C (أفراد),5,120099029
USR-1030,خالد جلال,الشيخ زايد,B2C (أفراد),3,155443030
USR-1031,شركة السويدي أوفيس,المعادي,B2B (شركات),16,106677031
USR-1032,آية صبري,6 أكتوبر,B2C (أفراد),2,114455032
USR-1033,إسلام سمير,مدينتي,B2C (أفراد),7,128899033
USR-1034,مكتب التقنية الهندسية,مصر الجديدة,B2B (شركات),7,101122034
USR-1035,ياسمين عبد الله,الشروق,B2C (أفراد),4,122233035
USR-1036,حسين سعيد,التجمع الخامس,B2C (أفراد),2,150011036
USR-1037,مطعم البرنس أوفيس,الشيخ زايد,B2B (شركات),9,109988037
USR-1038,ندى سليمان,المعادي,B2C (أفراد),5,118877038
USR-1039,طارق عبد الرحمن,6 أكتوبر,B2C (أفراد),3,127766039
USR-1040,هدى زكي,مدينتي,B2C (أفراد),1,103322040
USR-1041,شركة النيل لخدمات IT,مصر الجديدة,B2B (شركات),11,101234041
USR-1042,خديجة فاروق,الشروق,B2C (أفراد),4,112345042
USR-1043,مصطفى فهمي,التجمع الخامس,B2C (أفراد),6,123456043
USR-1044,فاطمة الزهراء,الشيخ زايد,B2C (أفراد),2,109876044
USR-1045,مكاتب الأهلي صبور,المعادي,B2B (شركات),17,155123045
USR-1046,هالة حسني,6 أكتوبر,B2C (أفراد),3,111987046
USR-1047,وليد حماد,مدينتي,B2C (أفراد),5,122334047
USR-1048,كافيه سوبريم,مصر الجديدة,B2B (شركات),8,103344048
USR-1049,داليا مجدي,الشروق,B2C (أفراد),1,120099049
USR-1050,رامي البدري,التجمع الخامس,B2C (أفراد),4,155443050
USR-1051,مركز الحياة الطبي,الشيخ زايد,B2B (شركات),10,106677051
USR-1052,شيماء النجار,المعادي,B2C (أفراد),2,114455052
USR-1053,إسراء علي,6 أكتوبر,B2C (أفراد),7,128899053
USR-1054,إبراهيم حلمي,مدينتي,B2C (أفراد),3,101122054
USR-1055,شركة فارما جروب,مصر الجديدة,B2B (شركات),12,122233055
USR-1056,أحمد زاهر,الشروق,B2C (أفراد),5,150011056
USR-1057,منة الله سامي,التجمع الخامس,B2C (أفراد),4,109988057
USR-1058,عصام يونس,الشيخ زايد,B2C (أفراد),1,118877058
USR-1059,مكتب الحلول الذكية,المعادي,B2B (شركات),6,127766059
USR-1060,مروة فؤاد,6 أكتوبر,B2C (أفراد),3,103322060
USR-1061,ياسر صلاح,مدينتي,B2C (أفراد),8,101234061
USR-1062,مطعم الشبراوي,مصر الجديدة,B2B (شركات),9,112345062
USR-1063,عبير حسن,الشروق,B2C (أفراد),2,123456063
USR-1064,ماجد سليم,التجمع الخامس,B2C (أفراد),5,109876064
USR-1065,شركة المستقبل العقارية,الشيخ زايد,B2B (شركات),15,155123065
USR-1066,منى عبد اللطيف,المعادي,B2C (أفراد),4,111987066
USR-1067,وائل فكري,6 أكتوبر,B2C (أفراد),3,122334067
USR-1068,إيمان عادل,مدينتي,B2C (أفراد),6,103344068
USR-1069,فندق إليجانس أوفيس,مصر الجديدة,B2B (شركات),18,120099069
USR-1070,سامح جاد,الشروق,B2C (أفراد),2,155443070
USR-1071,بسمة طارق,التجمع الخامس,B2C (أفراد),1,106677071
USR-1072,حازم منصور,الشيخ زايد,B2C (أفراد),5,114455072
USR-1073,شركة الرواد للاستيراد,المعادي,B2B (شركات),11,128899073
USR-1074,علاء الشافعي,6 أكتوبر,B2C (أفراد),4,101122074
USR-1075,رضوى فتحي,مدينتي,B2C (أفراد),3,122233075
USR-1076,تامر حسام,مصر الجديدة,B2C (أفراد),7,150011076
USR-1077,مركز الشروق الطبي,الشروق,B2B (شركات),8,109988077
USR-1078,علي حمزة,التجمع الخامس,B2C (أفراد),2,118877078
USR-1079,رباب سعيد,الشيخ زايد,B2C (أفراد),6,127766079
USR-1080,إسلام عاطف,المعادي,B2C (أفراد),3,103322080
USR-1081,مستشفى الشفاء الفرع,6 أكتوبر,B2B (شركات),19,101234081
USR-1082,سهيلة خيري,مدينتي,B2C (أفراد),1,112345082
USR-1083,أيمن رمزي,مصر الجديدة,B2C (أفراد),5,123456083
USR-1084,سماح إبراهيم,الشروق,B2C (أفراد),4,109876084
USR-1085,مكتب الإبداع للتصميم,التجمع الخامس,B2B (شركات),7,155123085
USR-1086,أسامة جابر,الشيخ زايد,B2C (أفراد),2,111987086
USR-1087,غادة رشدي,المعادي,B2C (أفراد),3,122334087
USR-1088,مدحت نبيل,6 أكتوبر,B2C (أفراد),8,103344088
USR-1089,شركة دلتا بارتس,مدينتي,B2B (شركات),10,120099089
USR-1090,ضياء صبحي,مصر الجديدة,B2C (أفراد),4,155443090
USR-1091,نجلاء الشيمي,الشروق,B2C (أفراد),2,106677091
USR-1092,أشرف زكريا,التجمع الخامس,B2C (أفراد),6,114455092
USR-1093,شعبان فوزي,الشيخ زايد,B2C (أفراد),1,128899093
USR-1094,معرض أثاث مودرن,المعادي,B2B (شركات),13,101122094
USR-1095,رمضان عبد القادر,6 أكتوبر,B2C (أفراد),5,122233095
USR-1096,أميرة شوقي,مدينتي,B2C (أفراد),3,150011096
USR-1097,شادي عبد العزيز,مصر الجديدة,B2C (أفراد),4,109988097
USR-1098,كافيه بينك جاردن,الشروق,B2B (شركات),6,118877098
USR-1099,عبد الله توفيق,التجمع الخامس,B2C (أفراد),2,127766099
USR-1100,عبد الرحمن مجدي,الشيخ زايد,B2C (أفراد),7,103322100
USR-1101,صلاح فاروق,المعادي,B2C (أفراد),3,101234101
USR-1102,شركة تراست للبرمجيات,6 أكتوبر,B2B (شركات),14,112345102
USR-1103,جمال زكريا,مدينتي,B2C (أفراد),2,123456103
USR-1104,حسين فهمي,مصر الجديدة,B2C (أفراد),5,109876104
USR-1105,عطية بدر,الشروق,B2C (أفراد),1,155123105
USR-1106,سليمان جاد,التجمع الخامس,B2C (أفراد),4,111987106
USR-1107,مكاتب مصر للتأمين,الشيخ زايد,B2B (شركات),16,122334107
USR-1108,فراج عبد الفتاح,المعادي,B2C (أفراد),3,103344108
USR-1109,السعيد متولي,6 أكتوبر,B2C (أفراد),6,120099109
USR-1110,خليل السويفي,مدينتي,B2C (أفراد),2,155443110
USR-1111,حمزة إمام,مصر الجديدة,B2C (أفراد),8,106677111
USR-1112,مطعم خان الخليل,الشروق,B2B (شركات),9,114455112
USR-1113,محسن جابر,التجمع الخامس,B2C (أفراد),4,128899113
USR-1114,توفيق مراد,الشيخ زايد,B2C (أفراد),3,101122114
USR-1115,باسم سلامة,المعادي,B2C (أفراد),5,122233115
USR-1116,شركة جولدن بلازا,6 أكتوبر,B2B (شركات),12,150011116
USR-1117,هاني رمزي,مدينتي,B2C (أفراد),1,109988117
USR-1118,زياد عبد السلام,مصر الجديدة,B2C (أفراد),7,118877118
USR-1119,عماد خليل,الشروق,B2C (أفراد),2,127766119
USR-1120,مجدي شريف,التجمع الخامس,B2C (أفراد),4,103322120
USR-1121,أكرم جلال,الشيخ زايد,B2C (أفراد),6,101234121
USR-1122,سعيد حماد,المعادي,B2C (أفراد),3,112345122
USR-1123,شركة نيو جينيريشن,6 أكتوبر,B2B (شركات),11,123456123
USR-1124,منتصر بدوي,مدينتي,B2C (أفراد),2,109876124
USR-1125,رضا مصطفى,مصر الجديدة,B2C (أفراد),5,155123125
USR-1126,صفوت زكي,الشروق,B2C (أفراد),1,111987126
USR-1127,شريف العطفي,التجمع الخامس,B2C (أفراد),8,122334127
USR-1128,ممدوح إبراهيم,الشيخ زايد,B2C (أفراد),4,103344128
USR-1129,سوبرماركت الخير,المعادي,B2B (شركات),10,120099129
USR-1130,أحمد فتحي,6 أكتوبر,B2C (أفراد),3,155443130
USR-1131,محمد الشامي,مدينتي,B2C (أفراد),6,106677131
USR-1132,محمود زهران,مصر الجديدة,B2C (أفراد),2,114455132
USR-1133,سيد العربي,الشروق,B2C (أفراد),7,128899133
USR-1134,طارق فوزي,التجمع الخامس,B2C (أفراد),1,101122134
USR-1135,خالد توفيق,الشيخ زايد,B2C (أفراد),5,122233135
USR-1136,شركة جلوبال إيجيبت,المعادي,B2B (شركات),15,150011136
USR-1137,وليد درويش,6 أكتوبر,B2C (أفراد),4,109988137
USR-1138,رامي فكري,مدينتي,B2C (أفراد),3,118877138
USR-1139,مصطفى بدر,مصر الجديدة,B2C (أفراد),2,127766139
USR-1140,عصام غانم,الشروق,B2C (أفراد),8,103322140
USR-1141,حسن بدوي,التجمع الخامس,B2C (أفراد),4,101234141
USR-1142,كريم الزيني,الشيخ زايد,B2C (أفراد),3,112345142
USR-1143,ياسر مهران,المعادي,B2C (أفراد),6,123456143
USR-1144,عمر القاضي,6 أكتوبر,B2C (أفراد),2,109876144
USR-1145,مستشفى السلام الفرع,مدينتي,B2B (شركات),17,155123145
USR-1146,ماجد الهواري,مصر الجديدة,B2C (أفراد),5,111987146
USR-1147,وائل سليمان,الشروق,B2C (أفراد),1,122334147
USR-1148,إبراهيم صبري,التجمع الخامس,B2C (أفراد),7,103344148
USR-1149,سامح نصار,الشيخ زايد,B2C (أفراد),4,120099149
USR-1150,حازم الباجوري,المعادي,B2C (أفراد),3,155443150
USR-1151,علاء العشي,6 أكتوبر,B2C (أفراد),2,106677151
USR-1152,تامر القيعي,مدينتي,B2C (أفراد),5,114455152
USR-1153,شركة ماس جروب,مصر الجديدة,B2B (شركات),13,128899153
USR-1154,علي عبد الجواد,الشروق,B2C (أفراد),3,101122154
USR-1155,إسلام البدري,التجمع الخامس,B2C (أفراد),6,122233155
USR-1156,أيمن الشاذلي,الشيخ زايد,B2C (أفراد),1,150011156
USR-1157,أسامة خاطر,المعادي,B2C (أفراد),4,109988157
USR-1158,مدحت العبد,6 أكتوبر,B2C (أفراد),8,118877158
USR-1159,ضياء الرفاعي,مدينتي,B2C (أفراد),2,127766159
USR-1160,أشرف عبد الرحيم,مصر الجديدة,B2C (أفراد),5,103322160
USR-1161,شعبان المليجي,الشروق,B2C (أفراد),3,101234161
USR-1162,رمضان عيسى,التجمع الخامس,B2C (أفراد),7,112345162
USR-1163,شادي النحاس,الشيخ زايد,B2C (أفراد),2,123456163
USR-1164,شركة ألفا للخدمات,المعادي,B2B (شركات),14,109876164
USR-1165,عبد الله ناصر,6 أكتوبر,B2C (أفراد),4,155123165
USR-1166,عبد الرحمن كمال,مدينتي,B2C (أفراد),1,111987166
USR-1167,صلاح مصطفى,مصر الجديدة,B2C (أفراد),6,122334167
USR-1168,جمال العادلي,الشروق,B2C (أفراد),3,103344168
USR-1169,حسين عبد التواب,التجمع الخامس,B2C (أفراد),5,120099169
USR-1170,عطية خليل,الشيخ زايد,B2C (أفراد),2,155443170
USR-1171,سليمان صابر,المعادي,B2C (أفراد),8,106677171
USR-1172,فراج جابر,6 أكتوبر,B2C (أفراد),4,114455172
USR-1173,شركة بايونيرز,مدينتي,B2B (شركات),12,128899173
USR-1174,السعيد بدوي,مصر الجديدة,B2C (أفراد),1,101122174
USR-1175,خليل فتح الله,الشروق,B2C (أفراد),3,122233175
USR-1176,حمزة عبد العاطي,التجمع الخامس,B2C (أفراد),7,150011176
USR-1177,محسن الهلالي,الشيخ زايد,B2C (أفراد),2,109988177
USR-1178,توفيق الشيمي,المعادي,B2C (أفراد),5,118877178
USR-1179,باسم الغندور,6 أكتوبر,B2C (أفراد),4,127766179
USR-1180,هاني الجمل,مدينتي,B2C (أفراد),3,103322180
USR-1181,زياد زاهر,مصر الجديدة,B2C (أفراد),6,101234181
USR-1182,عماد الدين,الشروق,B2C (أفراد),2,112345182
USR-1183,مجدي البدري,التجمع الخامس,B2C (أفراد),8,123456183
USR-1184,أكرم السويفي,الشيخ زايد,B2C (أفراد),1,109876184
USR-1185,مكتبة أفق التعليمية,المعادي,B2B (شركات),8,155123185
USR-1186,سعيد الشربيني,6 أكتوبر,B2C (أفراد),4,111987186
USR-1187,منتصر عبد العزيز,مدينتي,B2C (أفراد),3,122334187
USR-1188,رضا أبو الفتوح,مصر الجديدة,B2C (أفراد),5,103344188
USR-1189,صفوت النبراوي,الشروق,B2C (أفراد),2,120099189
USR-1190,شريف صقر,التجمع الخامس,B2C (أفراد),7,155443190
USR-1191,ممدوح الجابري,الشيخ زايد,B2C (أفراد),4,106677191
USR-1192,أحمد المنسي,المعادي,B2C (أفراد),1,114455192
USR-1193,محمد عمارة,6 أكتوبر,B2C (أفراد),6,128899193
USR-1194,محمود عبد الباقي,مدينتي,B2C (أفراد),3,101122194
USR-1195,شركة بترول لاين,مصر الجديدة,B2B (شركات),16,122233195
USR-1196,سيد عبد المعطي,الشروق,B2C (أفراد),2,150011196
USR-1197,طارق عبد العال,التجمع الخامس,B2C (أفراد),5,109988197
USR-1198,خالد عبد القادر,الشيخ زايد,B2C (أفراد),4,118877198
USR-1199,وليد نصر,المعادي,B2C (أفراد),8,127766199
USR-1200,رامي حمودة,6 أكتوبر,B2C (أفراد),2,103322200
USR-1201,مصطفى السواح,مدينتي,B2C (أفراد),3,101234201
USR-1202,عصام الشافعي,مصر الجديدة,B2C (أفراد),7,112345202
USR-1203,حسن الفقي,الشروق,B2C (أفراد),1,123456203
USR-1204,كريم عبد الحليم,التجمع الخامس,B2C (أفراد),4,109876204
USR-1205,ياسر العشري,الشيخ زايد,B2C (أفراد),6,155123205
USR-1206,شركة أورينت للتصدير,المعادي,B2B (شركات),10,111987206
USR-1207,عمر فاروق,6 أكتوبر,B2C (أفراد),2,122334207
USR-1208,ماجد السقا,مدينتي,B2C (أفراد),5,103344208
USR-1209,وائل عبد الجليل,مصر الجديدة,B2C (أفراد),3,120099209
USR-1210,إبراهيم غيث,الشروق,B2C (أفراد),8,155443210
USR-1211,سامح عبد الرازق,التجمع الخامس,B2C (أفراد),4,106677211
USR-1212,حازم بسيوني,الشيخ زايد,B2C (أفراد),1,114455212
USR-1213,علاء عبد الظاهر,المعادي,B2C (أفراد),6,128899213
USR-1214,تامر زكريا,6 أكتوبر,B2C (أفراد),3,101122214
USR-1215,شركة فيوتشر هومز,مدينتي,B2B (شركات),11,122233215
USR-1216,علي الشاعر,مصر الجديدة,B2C (أفراد),2,150011216
USR-1217,إسلام أبو طالب,الشروق,B2C (أفراد),5,109988217
USR-1218,أيمن إبراهيم,التجمع الخامس,B2C (أفراد),7,118877218
USR-1219,أسامة فهمي,الشيخ زايد,B2C (أفراد),3,127766219
USR-1220,مدحت حنفي,المعادي,B2C (أفراد),4,103322220
USR-1221,ضياء خيري,6 أكتوبر,B2C (أفراد),2,101234221
USR-1222,أشرف صابر,مدينتي,B2C (أفراد),8,112345222
USR-1223,شعبان عبد الحليم,مصر الجديدة,B2C (أفراد),1,123456223
USR-1224,رمضان الجندي,الشروق,B2C (أفراد),6,109876224
USR-1225,مكاتب إتش آر جيت,التجمع الخامس,B2B (شركات),9,155123225
USR-1226,شادي مرعي,الشيخ زايد,B2C (أفراد),3,111987226
USR-1227,عبد الله العريان,المعادي,B2C (أفراد),5,122334227
USR-1228,عبد الرحمن هاني,6 أكتوبر,B2C (أفراد),4,103344228
USR-1229,صلاح الخولي,مدينتي,B2C (أفراد),2,120099229
USR-1230,جمال عبد العليم,مصر الجديدة,B2C (أفراد),7,155443230
USR-1231,حسين توفيق,الشروق,B2C (أفراد),3,106677231
USR-1232,عطية جابر,التجمع الخامس,B2C (أفراد),1,114455232
USR-1233,سليمان زايد,الشيخ زايد,B2C (أفراد),6,128899233
USR-1234,فراج عبد القوي,المعادي,B2C (أفراد),4,101122234
USR-1235,السعيد فتحي,6 أكتوبر,B2C (أفراد),2,122233235
USR-1236,شركة سمارت سيرفيس,مدينتي,B2B (شركات),15,150011236
USR-1237,خليل زكي,مصر الجديدة,B2C (أفراد),5,109988237
USR-1238,حمزة عبد العظيم,الشروق,B2C (أفراد),3,118877238
USR-1239,محسن صبحي,التجمع الخامس,B2C (أفراد),8,127766239
USR-1240,توفيق جلال,الشيخ زايد,B2C (أفراد),2,103322240
USR-1241,باسم حاتم,المعادي,B2C (أفراد),4,101234241
USR-1242,هاني البدراوي,6 أكتوبر,B2C (أفراد),1,112345242
USR-1243,زياد فتح الله,مدينتي,B2C (أفراد),6,123456243
USR-1244,عماد زهران,مصر الجديدة,B2C (أفراد),3,109876244
USR-1245,مجدي إمام,الشروق,B2C (أفراد),7,155123245
USR-1246,أكرم العشري,التجمع الخامس,B2C (أفراد),2,111987246
USR-1247,سعيد الهادي,الشيخ زايد,B2C (أفراد),5,122334247
USR-1248,منتصر القاضي,المعادي,B2C (أفراد),4,103344248
USR-1249,شركة الأهرام للتوزيع,6 أكتوبر,B2B (شركات),12,120099249
USR-1250,رضا العايدي,مدينتي,B2C (أفراد),3,155443250
USR-1251,صفوت رشيد,مصر الجديدة,B2C (أفراد),8,106677251
USR-1252,شريف البدوي,الشروق,B2C (أفراد),1,114455252
USR-1253,ممدوح الشامي,التجمع الخامس,B2C (أفراد),6,128899253
USR-1254,أحمد زكريا,الشيخ زايد,B2C (أفراد),2,101122254
USR-1255,محمد النحاس,المعادي,B2C (أفراد),5,122233255
USR-1256,محمود الهواري,6 أكتوبر,B2C (أفراد),4,150011256
USR-1257,سيد السويفي,مدينتي,B2C (أفراد),7,109988257
USR-1258,طارق حليم,مصر الجديدة,B2C (أفراد),3,118877258
USR-1259,خالد صبري,الشروق,B2C (أفراد),2,127766259
USR-1260,وليد الفقي,التجمع الخامس,B2C (أفراد),9,103322260
USR-1261,رامي عاشور,الشيخ زايد,B2C (أفراد),1,101234261
USR-1262,مطعم بيت ورد,المعادي,B2B (شركات),7,112345262
USR-1263,مصطفى الباشا,6 أكتوبر,B2C (أفراد),5,123456263
USR-1264,عصام إبراهيم,مدينتي,B2C (أفراد),4,109876264
USR-1265,حسن زكريا,مصر الجديدة,B2C (أفراد),2,155123265
USR-1266,كريم نصر,الشروق,B2C (أفراد),6,111987266
USR-1267,ياسر فتحي,التجمع الخامس,B2C (أفراد),3,122334267
USR-1268,عمر السعيد,الشيخ زايد,B2C (أفراد),8,103344268
USR-1269,ماجد توفيق,المعادي,B2C (أفراد),2,120099269
USR-1270,وائل خليل,6 أكتوبر,B2C (أفراد),4,155443270
USR-1271,إبراهيم حمودة,مدينتي,B2C (أفراد),1,106677271
USR-1272,سامح الصاوي,مصر الجديدة,B2C (أفراد),7,114455272
USR-1273,حازم النجار,الشروق,B2C (أفراد),3,128899273
USR-1274,علاء الدين,التجمع الخامس,B2C (أفراد),5,101122274
USR-1275,تامر عبد الله,الشيخ زايد,B2C (أفراد),2,122233275
USR-1276,علي فهمي,المعادي,B2C (أفراد),6,150011276
USR-1277,إسلام زايد,6 أكتوبر,B2C (أفراد),4,109988277
USR-1278,أيمن فكري,مدينتي,B2C (أفراد),1,118877278
USR-1279,شركة الأثر جروب,مصر الجديدة,B2B (شركات),10,127766279
USR-1280,أسامة بدر,الشروق,B2C (أفراد),8,103322280
USR-1281,مدحت صلاح,التجمع الخامس,B2C (أفراد),3,101234281
USR-1282,ضياء النحاس,الشيخ زايد,B2C (أفراد),2,112345282
USR-1283,أشرف الشاذلي,المعادي,B2C (أفراد),5,123456283
USR-1284,شعبان عبد التواب,6 أكتوبر,B2C (أفراد),4,109876284
USR-1285,رمضان حلمي,مدينتي,B2C (أفراد),7,155123285
USR-1286,شادي رمزي,مصر الجديدة,B2C (أفراد),2,111987286
USR-1287,عبد الله بدوي,الشروق,B2C (أفراد),6,122334287
USR-1288,عبد الرحمن صلاح,التجمع الخامس,B2C (أفراد),1,103344288
USR-1289,صلاح جابر,الشيخ زايد,B2C (أفراد),4,120099289
USR-1290,جمال فوزي,المعادي,B2C (أفراد),3,155443290
USR-1291,حسين مصطفى,6 أكتوبر,B2C (أفراد),8,106677291
USR-1292,عطية صابر,مدينتي,B2C (أفراد),2,114455292
USR-1293,سليمان فتح الله,مصر الجديدة,B2C (أفراد),5,128899293
USR-1294,شركة النور سنتر,الشروق,B2B (شركات),11,101122294
USR-1295,فراج زكي,التجمع الخامس,B2C (أفراد),4,122233295
USR-1296,السعيد منصور,الشيخ زايد,B2C (أفراد),1,150011296
USR-1297,خليل القاضي,المعادي,B2C (أفراد),7,109988297
USR-1298,حمزة البشري,6 أكتوبر,B2C (أفراد),3,118877298
USR-1299,محسن الهواري,مدينتي,B2C (أفراد),6,127766299
USR-1300,توفيق الصاوي,مصر الجديدة,B2C (أفراد),2,103322300
USR-1301,باسم الباجوري,الشروق,B2C (أفراد),5,101234301
USR-1302,هاني النحاس,التجمع الخامس,B2C (أفراد),4,112345302
USR-1303,زياد فاروق,الشيخ زايد,B2C (أفراد),8,123456303
USR-1304,عماد زايد,المعادي,B2C (أفراد),2,109876304
USR-1305,مجدي سلامة,6 أكتوبر,B2C (أفراد),6,155123305
USR-1306,أكرم درويش,مدينتي,B2C (أفراد),1,111987306
USR-1307,سعيد القيعي,مصر الجديدة,B2C (أفراد),3,122334307
USR-1308,منتصر جاد,الشروق,B2C (أفراد),7,103344308
USR-1309,رضا عبد المولى,التجمع الخامس,B2C (أفراد),4,120099309
USR-1310,صفوت حماد,الشيخ زايد,B2C (أفراد),2,155443310
USR-1311,شريف منصور,المعادي,B2C (أفراد),5,106677311
USR-1312,ممدوح زكريا,6 أكتوبر,B2C (أفراد),3,114455312
USR-1313,مستشفى دار الصفا,مدينتي,B2B (شركات),14,128899313
USR-1314,أحمد الطويل,مصر الجديدة,B2C (أفراد),8,101122314
USR-1315,محمد النبراوي,الشروق,B2C (أفراد),1,122233315
USR-1316,محمود الغزالي,التجمع الخامس,B2C (أفراد),6,150011316
USR-1317,سيد عبد الفتاح,الشيخ زايد,B2C (أفراد),4,109988317
USR-1318,طارق العبد,المعادي,B2C (أفراد),2,118877318
USR-1319,خالد الشيمي,6 أكتوبر,B2C (أفراد),5,127766319
USR-1320,وليد البهنسي,مدينتي,B2C (أفراد),3,103322320
USR-1321,رامي خيري,مصر الجديدة,B2C (أفراد),7,101234321
USR-1322,مصطفى زهران,الشروق,B2C (أفراد),2,112345322
USR-1323,عصام الصيرفي,التجمع الخامس,B2C (أفراد),4,123456323
USR-1324,حسن القاضي,الشيخ زايد,B2C (أفراد),1,109876324
USR-1325,كريم الملاح,المعادي,B2C (أفراد),6,155123325
USR-1326,ياسر العباسي,6 أكتوبر,B2C (أفراد),3,111987326
USR-1327,عمر الطاهر,مدينتي,B2C (أفراد),8,122334327
USR-1328,ماجد حلمي,مصر الجديدة,B2C (أفراد),5,103344328
USR-1329,وائل عبد الجواد,الشروق,B2C (أفراد),2,120099329
USR-1330,إبراهيم الشريف,التجمع الخامس,B2C (أفراد),4,155443330
USR-1331,سامح الفولي,الشيخ زايد,B2C (أفراد),7,106677331
USR-1332,حازم مصطفى,المعادي,B2C (أفراد),3,114455332
USR-1333,علاء الصاوي,6 أكتوبر,B2C (أفراد),1,128899333
USR-1334,تامر الجمل,مدينتي,B2C (أفراد),6,101122334
USR-1335,علي عبد الفتاح,مصر الجديدة,B2C (أفراد),2,122233335
USR-1336,إسلام الشامي,الشروق,B2C (أفراد),5,150011336
USR-1337,أيمن بركات,التجمع الخامس,B2C (أفراد),4,109988337
USR-1338,أسامة العفيفي,الشيخ زايد,B2C (أفراد),8,118877338
USR-1339,مدحت البدري,المعادي,B2C (أفراد),3,127766339
USR-1340,ضياء منصور,6 أكتوبر,B2C (أفراد),2,103322340
USR-1341,أشرف فاروق,مدينتي,B2C (أفراد),6,101234341
USR-1342,شعبان الجابري,مصر الجديدة,B2C (أفراد),1,112345342
USR-1343,رمضان برعي,الشروق,B2C (أفراد),5,123456343
USR-1344,شادي بسيوني,التجمع الخامس,B2C (أفراد),4,109876344
USR-1345,عبد الله السويفي,الشيخ زايد,B2C (أفراد),7,155123345
USR-1346,عبد الرحمن حازم,المعادي,B2C (أفراد),3,111987346
USR-1347,صلاح الدين,6 أكتوبر,B2C (أفراد),2,122334347
USR-1348,جمال صابر,مدينتي,B2C (أفراد),8,103344348
USR-1349,حسين الهادي,مصر الجديدة,B2C (أفراد),5,120099349
USR-1350,عطية بدر الدين,الشروق,B2C (أفراد),1,155443350
USR-1351,سليمان الفخراني,التجمع الخامس,B2C (أفراد),6,106677351
USR-1352,فراج السيد,الشيخ زايد,B2C (أفراد),4,114455352
USR-1353,السعيد خليل,المعادي,B2C (أفراد),2,128899353
USR-1354,خليل الباشا,6 أكتوبر,B2C (أفراد),7,101122354
USR-1355,حمزة النويري,مدينتي,B2C (أفراد),3,122233355
USR-1356,محسن الصاوي,مصر الجديدة,B2C (أفراد),5,150011356
USR-1357,توفيق عبد الوهاب,الشروق,B2C (أفراد),2,109988357
USR-1358,باسم كمال,التجمع الخامس,B2C (أفراد),8,118877358
USR-1359,هاني يونس,الشيخ زايد,B2C (أفراد),1,127766359
USR-1360,زياد الجيار,المعادي,B2C (أفراد),4,103322360
USR-1361,عماد البنا,6 أكتوبر,B2C (أفراد),6,101234361
USR-1362,مجدي عاطف,مدينتي,B2C (أفراد),3,112345362
USR-1363,أكرم البدراوي,مصر الجديدة,B2C (أفراد),5,123456363
USR-1364,سعيد الشاذلي,الشروق,B2C (أفراد),2,109876364
USR-1365,منتصر الهواري,التجمع الخامس,B2C (أفراد),7,155123365
USR-1366,رضا الجابري,الشيخ زايد,B2C (أفراد),4,111987366
USR-1367,صفوت عبد العال,المعادي,B2C (أفراد),1,122334367
USR-1368,شريف سلامة,6 أكتوبر,B2C (أفراد),6,103344368
USR-1369,ممدوح فاروق,مدينتي,B2C (أفراد),3,120099369
USR-1370,أحمد عيسى,مصر الجديدة,B2C (أفراد),8,155443370
USR-1371,محمد عبد القادر,الشروق,B2C (أفراد),2,106677371
